Trace metal concentrations in filtered water (0.45 um) analyzed at Trent WQC,,,,,,,,,,,,,,,,,,,,,,,
York Sample ID #,Province,Lake,Station,,Sampling Date,Sampling depth (m or range if integrated),,Fe ppb,Fe RSD,Co ppb,Co RSD,Ni ppb,Ni RSD,Cu ppb,Cu RSD,Zn ppb,Zn RSD,Mo ppb,Mo RSD,Mn ppb,Mn RSD,V ppb,V RSD
TMF-355,Ont,227,,,2017-06-05,8,,303.695,1.562,0.707,1.024,0.882,11.893,0.794,1.223,68.268,1.232,0.16,8.682,142.765,0.616,0.075,22.071
TMF-356,Ont,227,,,2017-06-05,10,,19836.341,5.658,8.704,5.017,1.303,3.028,1.193,3.698,1089.396,6.565,0.282,6.29,2046.725,4.704,2.747,5.412
TMF-15,Ont,227,central stn,,2017-06-19,epi,,50.651,2.095,0.061,5.408,0.266,4.832,0.529,5.087,96.0,1.086,0.077,6.562,3.164,3.872,0.5,1.812
TMF-17,Ont,227,central stn,,2017-06-19,hypo,,714.481,0.357,0.672,1.309,0.34,1.229,0.506,1.015,1438.3,0.288,0.075,3.36,137.979,1.252,1.257,1.181
TMF-16,Ont,227,central stn,,2017-06-19,meta,,266.327,1.467,0.063,4.027,0.251,4.361,0.414,2.637,32.4,0.533,0.076,2.474,1.003,3.418,0.126,4.472
TMF-18,Ont,227,central stn,,2017-06-22,0,,51.863,1.154,0.064,3.896,0.265,5.437,0.458,2.538,72.7,0.802,0.049,9.502,1.113,1.474,0.337,2.468
TMF-19,Ont,227,central stn,,2017-06-22,8,,594.147,0.685,0.57,2.476,0.279,2.691,0.35,0.94,528.7,0.863,0.061,5.357,120.136,2.192,0.258,0.947
TMF-20,Ont,227,central stn,,2017-06-27,0,,73.342,1.015,0.093,5.064,0.193,1.856,0.254,3.818,5.2,2.281,0.011,5.438,2.88,4.913,0.139,3.819
TMF-21,Ont,227,central stn,,2017-06-27,8,,1155.081,25.316,0.856,5.641,0.259,9.799,0.226,8.41,31.6,24.565,2.077,15.44,180.548,3.692,0.432,22.4
TMF-22,Ont,227,central stn,,2017-07-03,0,,75.151,0.477,0.149,3.52,0.171,2.627,0.351,3.245,5.7,0.841,0.413,6.492,5.718,5.691,0.116,3.537
TMF-23,Ont,227,central stn,,2017-07-03,8,,1707.911,0.658,0.927,27.743,0.244,26.298,0.278,27.593,7.5,0.604,0.207,26.318,196.325,26.623,0.212,3.261
TMF-24,Ont,227,central stn,,2017-07-04,0,,88.096,1.845,0.117,27.183,0.125,25.809,0.308,27.729,6.8,1.605,0.115,66.587,4.73,27.048,0.132,2.34
TMF-25,Ont,227,central stn,,2017-07-04,1,,75.959,1.916,0.122,1.957,0.234,3.295,0.309,1.373,10.3,2.813,0.091,8.447,4.06,2.537,0.207,0.721
TMF-26,Ont,227,central stn,,2017-07-04,3,,185.25,0.701,0.063,1.849,0.238,1.789,0.35,1.961,40.3,0.424,0.102,10.45,1.297,3.486,0.132,4.765
TMF-27,Ont,227,central stn,,2017-07-04,4,,253.416,1.575,0.066,4.213,0.274,2.783,0.952,3.775,43.7,0.343,0.087,6.352,2.773,2.806,0.14,3.7
TMF-28,Ont,227,central stn,,2017-07-04,6,,572.805,0.768,0.658,1.217,0.593,4.339,3.478,1.05,172.8,1.478,0.083,8.226,134.149,2.351,0.221,2.413
TMF-29,Ont,227,central stn,,2017-07-04,8,,1257.291,3.865,0.727,7.907,0.288,9.125,0.28,8.639,29.0,1.132,0.069,12.445,152.616,10.353,0.451,0.805
TMF-30,Ont,227,central stn,,2017-07-04,10,,5644.351,0.86,2.208,1.893,0.357,3.828,2.855,1.779,21.0,1.699,0.096,3.384,479.01,2.609,0.72,3.214
TMF-31,Ont,227,central stn,,2017-07-06,0,,83.945,3.403,0.163,1.964,0.287,4.026,0.545,4.539,9.8,2.016,0.015,15.903,6.723,0.902,0.149,3.14
TMF-32,Ont,227,central stn,,2017-07-06,8,,1379.136,0.746,0.853,0.449,0.342,2.069,0.235,1.691,5.8,2.131,0.074,5.126,185.184,1.388,0.23,1.789
TMF-33,Ont,227,central stn,,2017-07-10,0,,120.939,1.16,0.207,0.411,0.255,2.472,1,0.579,74.2,0.795,0.015,12.824,10.127,0.777,0.75,0.683
TMF-34,Ont,227,central stn,,2017-07-10,1,,113.415,3.364,0.201,2.078,0.299,2.379,2.795,1.748,733.6,1.864,0.018,6.271,12.145,0.889,0.866,2.328
TMF-35,Ont,227,central stn,,2017-07-10,3,,199.356,0.772,0.072,4.418,0.263,5.558,1.138,4.232,791.1,0.374,0.056,2.733,10.725,4.867,1.274,1.575
TMF-36,Ont,227,central stn,,2017-07-10,4,,245.073,0.913,0.07,8.788,0.397,7.065,0.636,6.304,1632.1,0.407,0.06,8.119,2.936,5.155,1.922,0.91
TMF-37,Ont,227,central stn,,2017-07-10,6,,760.92,1.617,0.723,1.988,0.31,4.782,0.24,4.439,387.5,1.909,0.059,3.009,148.665,2.591,0.914,2.974
TMF-38,Ont,227,central stn,,2017-07-10,8,,2209.359,0.712,1.074,1.719,0.388,2.069,0.275,3.868,932.1,1.068,0.065,4.66,231.862,2.485,1.711,2.671
TMF-39,Ont,227,central stn,,2017-07-10,10 m (prob in bottom sediment),,110592809.312,86.608,7.746,0.489,1.256,0.924,1.016,1.086,4436.7,1.354,0.19,5.327,1833.322,0.429,4.531,0.514
TMF-40,Ont,227,central stn,,2017-07-12,0,,150.153,2.472,0.208,2.705,0.212,3.481,0.263,2.688,78.9,2.116,0.02,2.68,17.306,1.779,0.149,3.17
TMF-41,Ont,227,central stn,,2017-07-12,8,,3101.368,0.904,1.404,1.767,0.332,0.303,0.408,2.184,26.4,0.85,1.269,4.308,315.64,2.316,0.38,1.949
TMF-293,Ont,227,,,2017-07-17,0,,150.607,3.305,0.223,4.872,0.97,8.381,0.551,2.999,1344.749,2.585,0.014,21.698,12.773,5.312,1.722,3.521
TMF-294,Ont,227,,,2017-07-17,8,,1694.177,1.242,0.981,6.272,1.064,7.962,0.287,3.533,662.087,1.981,0.063,35.755,215.117,3.134,1.847,5.35
TMF-291,Ont,227,,,2017-07-17,epi,,144.14,5.198,0.236,2.937,1.122,10.294,0.903,2.834,2585.003,4.078,0.018,13.66,12.946,4.745,2.742,9.17
TMF-292,Ont,227,,,2017-07-17,meta,,145.903,2.713,0.053,12.344,0.895,11.316,0.45,2.082,744.052,3.143,0.02,19.305,1.958,3.283,0.685,2.246
TMF-295,Ont,227,,,2017-07-19,8,,148.369,2.543,0.233,2.379,0.96,10.131,0.929,1.864,3227.527,2.757,0.017,6.648,11.349,1.917,3.389,4.952
TMF-296,Ont,227,,,2017-07-19,8,,2368.934,2.075,1.303,3.162,1.431,17.477,0.438,4.412,1193.419,2.694,0.076,7.258,292.284,0.748,1.818,5.145
TMF-297,Ont,227,,,2017-07-24,0,,139.823,3.581,0.189,9.964,1.139,7.477,0.431,5.265,68.822,3.86,0.018,25.305,4.624,5.989,0.281,11.317
TMF-298,Ont,227,,,2017-07-24,8,,2348.681,4,1.143,7.172,1.112,5.052,0.226,4.348,8.711,5.26,0.082,18.182,250.844,5.579,0.312,13.015
TMF-299,Ont,227,,,2017-07-26,0,,106.455,1.837,0.155,8.21,1.051,6.291,0.324,5.457,40.775,2.355,0.027,36.012,4.32,5.573,0.176,9.763
TMF-300,Ont,227,,,2017-07-26,8,,2591.821,3.788,1.181,3.054,1.162,5.06,0.196,12.383,8.087,4.751,0.073,7.243,263.047,5.131,0.318,10.8
TMF-301,Ont,227,,,2017-08-02,0,,68.318,1.152,0.126,5.364,1.528,5.131,1.284,5.463,3486.406,2.767,0.046,14.731,1.419,6.036,3.042,2.206
TMF-302,Ont,227,,,2017-08-02,8,,2804.69,2.04,1.766,2.31,2.127,5.93,1.493,0.955,5100.582,2.433,1.66,4.187,306.672,1.467,5.421,1.305
TMF-303,Ont,227,,,2017-08-08,0,,65.222,2.523,0.111,7.478,1.162,6.355,0.322,1.08,9.259,1.819,0.443,12.277,2.183,5.139,0.132,6.625
TMF-304,Ont,227,,,2017-08-08,1,,34.502,1.339,0.133,7.307,1.711,2.158,2.106,3.766,3251.292,2.654,0.201,3.844,1.82,3.851,3.075,1.485
TMF-305,Ont,227,,,2017-08-08,3,,174.012,1.516,0.092,4.487,1.34,8.862,0.745,3.001,2690.62,2.865,0.127,5.37,3.864,3.05,2.711,6.462
TMF-306,Ont,227,,,2017-08-08,4,,219.612,5.166,0.694,3.808,1.134,8.022,0.423,4.309,40.21,4.121,0.122,5.245,135.654,4.227,0.072,10.613
TMF-307,Ont,227,,,2017-08-08,6,,986.459,0.93,0.783,5.378,1.124,7.206,0.75,5.722,2794.66,1.468,0.122,2.329,153.455,6.387,3.104,3.575
TMF-308,Ont,227,,,2017-08-08,8,,2743.093,2.378,1.267,5.13,1.276,7.256,0.673,3.476,2417.235,2.416,0.137,8.085,274.838,3.707,3.189,4.892
TMF-309,Ont,227,,,2017-08-08,10,,12663.517,3.103,4.139,5.915,2.621,2.501,2.852,3.343,4852.359,3.416,0.178,7.744,956.623,6.732,5.118,5.26
TMF-310,Ont,227,,,2017-08-15,0,,4168.002,3.243,2.12,5.27,1.801,5.721,1.19,1.903,6279.901,3.065,0.143,11.799,458.653,5.705,6.365,3.178
TMF-311,Ont,227,,,2017-08-15,8,,32.308,3.754,0.163,0.577,2.223,4.959,3.021,2.639,3184.122,2.52,0.065,23.208,4.447,2.883,3.072,5.99
